event_id,station_key,magnitude,raw_diff_w50_3h_off,ram_diff_w50_3h_off,n_windows_w50_3h_off,raw_diff_w145_3h_off,ram_diff_w145_3h_off,n_windows_w145_3h_off,raw_diff_w50_6h_off,ram_diff_w50_6h_off,n_windows_w50_6h_off,raw_diff_w145_6h_off,ram_diff_w145_6h_off,n_windows_w145_6h_off
209424,KO.VANB,2.7,318.24740767591663,0.5974924809950952,17,327.9108336353913,0.3939942615761119,6,247.75447003055882,0.636373707641304,18,254.9286951121829,0.4012714511136411,6
209480,KO.YOZ,2.7,114.96980624389406,0.31152639998352616,18,89.81844871347072,0.2138646345912214,6,69.37859060471796,0.35863274740528067,18,68.07636969379247,0.2034897240765531,6
209485,KO.VANB,2.1,77.03618210585924,0.6336218045791395,18,104.21134297855819,0.3378742388805321,6,111.35909732848395,0.5556250172645769,18,118.77020347710784,0.3551817057943604,6
209504,6G.EREM,2.1,333.1011904515265,0.2641176932358681,18,305.0384300284641,0.31842267508839356,6,173.59803906559472,0.368152134175286,18,181.38599566607377,0.19436513039820524,6
209537,KO.GEDZ,2.2,1383.4604375361594,0.3586747769476131,18,1479.1133939343379,0.21854791942979754,6,1384.0468363054902,0.31497020070995896,18,1345.0162606369313,0.20592904127737563,6
209537,KO.TVSB,2.2,65.37274147739076,0.3498535659865735,18,66.72070431177765,0.2540682293918106,6,34.84769591386802,0.3294056274663756,18,38.2654642730723,0.2315539213527098,6
209629,KO.VANB,2.4,185.9418792560706,0.590399326602738,18,174.96636176668096,0.33562557352590655,6,267.37489815980905,0.5190909520063012,18,262.5262038553102,0.3358530681028955,6
209702,KO.TVSB,2.1,86.96662425880542,0.3947091827155382,18,91.44142630610014,0.306325638066953,6,10.243020218956195,0.3176866816249344,18,10.386203646689426,0.25900370983082216,6
209712,KO.VANB,2.2,230.57464503293116,0.6963413013809169,18,243.83118836088093,0.38100984628699924,6,275.50649624988824,0.6543697340488275,18,277.08619041818207,0.423494299961139,6
209749,KO.AKDM,2.4,99.69521039579837,0.484001450380143,18,99.2775876244289,0.3626534472601102,6,63.57098723801538,0.7387642546970012,18,62.917806464700185,0.46422626388595667,6
209749,KO.VANB,2.4,101.61387619737928,0.8823851632962818,18,111.42786687558699,0.6863712070505388,6,136.33043244129635,0.737175198047234,18,131.06991434072424,0.3863703113908832,6
209750,KO.KULU,2.4,1960.679629594904,0.28140911463967905,18,1943.974627706666,0.21779021690485578,6,1538.4687482376262,0.2982092438066154,18,1582.9802780592424,0.4420219174883808,6
209750,KO.SERE,2.4,1150.692862769792,0.2711666749777534,18,1233.6116821938574,0.1716145178869765,6,1174.7268781592327,0.30024464443878485,18,1225.9337472707628,0.19696606586257817,6
209750,KO.YAYX,2.4,60.548083379289984,0.23722817620224407,18,61.230363121184915,0.156182446025416,6,50.49834521688685,0.28330843280749757,18,52.83327398108799,0.17845945461193483,6
209754,KO.AKDM,2.0,77.07777965737174,0.4394114960393047,18,77.67983746911811,0.22265657661929125,6,99.66870536972759,0.4660049391496989,18,99.63234884265854,0.21371032806605292,6
209754,KO.VANB,2.0,129.04437824777614,0.7543450408613245,18,128.27387903417045,0.48410080818422907,6,205.81570896733257,0.5707087265252718,18,190.82534529413525,0.3560334877959786,6
209755,KO.AKDM,2.5,48.869915862998894,0.43285428031150713,18,49.94871313539645,0.33066211042853205,6,56.57811583238034,0.6719282713962702,18,56.4836876152146,0.47133302876402755,6
