network,station,latitude,longitude,elevation
KO,SLVT,41.2288,28.2098,180.0
KO,ERZN,39.5867,39.722,1317.0
KO,KARA,37.2607,35.0547,366.0
KO,ESKY,40.5918,28.9071,2.0
KO,LAP,40.3703,26.7593,230.0
KO,ESPY,40.9167,38.7273,430.0
KO,CTYL,41.476,28.2897,77.0
KO,HOPA,41.3867,41.4458,100.0
KO,EZN,39.8255,26.3246,48.0
KO,AKS,38.8785,27.8129,385.0
KO,HKOY,40.892,35.9884,0.0
KO,KRTL,40.9089,29.1987,83.0
KO,LFK,35.2832,33.5335,690.0
KO,CORM,40.1785,34.6302,1292.0
KO,SLFK,36.3925,33.9464,54.0
KO,BLVD,38.7946,31.095,1220.0
KO,SPNC,40.686,30.3083,190.0
KO,KULA,38.5145,28.6607,915.0
KO,CEYT,37.0105,35.7478,100.0
KO,KIYI,41.4844,28.2998,23.0
KO,GRDE,40.7995,32.2116,0.0
KO,EDRB,41.8469,26.7437,209.0
KO,YUNK,38.806,31.7626,0.0
KO,VANB,38.509,43.4056,1227.0
KO,BNN,38.8521,35.8472,1380.0
KO,GAZK,40.7479,27.3275,30.0
KO,BRGA,40.8846,29.065,67.0
KO,KMON,41.3738,33.7839,936.0
KO,KRTS,36.573,35.375,53.0
KO,HVHR,40.9699,28.8445,22.0
KO,CRLT,41.129,27.736,230.0
KO,MAEG,40.9653,27.9448,2.0
KO,CAME,36.9435,29.3023,1391.0
KO,RFHY,39.927,38.833,1851.0
KO,BNGB,38.9913,40.6792,1180.0
KO,TZLA,40.8123,29.2968,2.0
KO,ODEM,38.2762,28.0747,797.0
KO,MASR,41.7596,32.4658,325.0
KO,HDMB,36.9638,32.4857,1946.0
KO,KONT,37.957,32.3563,1100.0
KO,ENZZ,40.607,26.1406,11.0
KO,ALAN,36.557,32.0327,215.0
KO,SIRT,37.501,42.4392,1038.0
KO,CHAY,41.0862,40.7253,60.0
KO,YENI,39.9364,27.24216,278.0
KO,ARMT,40.5683,28.866,320.0
KO,PHSR,41.6308,27.5238,263.0
KO,ERIK,40.6708,26.5132,38.0
KO,KHL,38.3231,29.5286,1003.0
KO,TUNC,39.6942,37.5388,1489.0
KO,YLVH,40.6953,29.3703,0.0
