Network,Code,Longitude,Latitude,Height,Province,District
"TB","KNL",27.5261,40.2707,178,"Balıkesir","Gönen"
"TB","ESKM",28.9455,40.6069,96,"Yalova","Çınarcık"
"TB","MADM",27.6647,40.6538,40,"Balıkesir","Marmara"
"TB","KVK",26.8877,40.6041,75,"Çanakkale","Gelibolu"
"TB","TRNM",27.7786,40.5057,80,"Balıkesir","Erdek"
"TB","SGTM",27.1081,40.767,295,"Tekirdağ","Malkara"
"TB","MSDM",28.6,40.3495,201,"Bursa","Mudanya"
"TB","SLV",28.1403,41.0731,30,"İstanbul","Silivri"
"TB","ATIM",27.5633,40.083,230,"Balıkesir","Gönen"
"TB","BUY",29.1175,40.8526,231,"İstanbul","Adalar"
"TU","CAM",27.3125,38.7484,279,"Manisa","Yunusemre"
"TU","DGB",26.8826,38.0521,22,"İzmir","Seferihisar"
"TU","BBD",28.8528,37.8019,888,"Denizli","Babadağ"
"TU","BLN",27.8219,38.6349,348,"Manisa","Saruhanlı"
"TU","CVD",28.1066,37.7522,386,"Aydın","Yenipazar"
"TU","HAR",28.7992,38.3411,901,"Uşak","Eşme"
"TU","YAK",27.3235,38.515,484,"İzmir","Bornova"
"TU","YEN",27.9487,38.4058,928,"Manisa","Salihli"
"TU","KON",28.5716,38.465,606,"Manisa","Kula"
"TU","KTT",28.093,38.6883,493,"Manisa","Salihli"
"TU","UZP",29.1746,38.0313,1203,"Denizli","Pamukkale"
"TU","KRB",28.4235,38.1342,823,"İzmir","Kiraz"
"TU","SUL",28.7676,38.0536,1194,"Denizli","Buldan"
"TU","YNC",28.5726,37.8139,248,"Aydın","Karacasu"
"TU","DUV",27.4491,38.22,246,"İzmir","Torbalı"
"TU","BEY",26.9271,38.227,336,"İzmir","Seferihisar"
"TU","DAG",27.7508,38.004,654,"İzmir","Tire"
"TU","ZEY",26.5033,38.2389,76,"İzmir","Urla"
"TU","BAG",26.8519,38.6554,89,"İzmir","Foça"
"TU","CKO",35.367,37.0625,135,"Adana","Sarıçam"
"TU","DED",34.7993,36.9614,479,"Mersin","Tarsus"
"TU","IMO",35.6438,37.2923,128,"Adana","İmamoğlu"
"TU","DRY",36.2496,36.8386,187,"Hatay","Dörtyol"
"TU","NUR",36.7569,37.1712,570,"Gaziantep","Nurdağı"
"TU","AKO",35.446,37.4615,450,"Adana","Aladağ"
"TU","KRT",36.2232,37.2595,636,"Osmaniye","Kadirli"
"TU","GZY",36.154,36.487,883,"Hatay","Belen"
"TU","REY",36.5988,36.2597,250,"Hatay","Reyhanlı"
"TU","KHM",36.9909,37.5234,614,"Kahramanmaraş","Dulkadiroğlu"
"TU","KAH",38.6101,37.8053,766,"Adıyaman","Kahta"
"TU","GER",39.0352,38.0315,815,"Adıyaman","Gerger"
"TU","BES",37.855,37.7001,1010,"Adıyaman","Besni"
"TU","PAL",39.9176,38.6986,1032,"Elazığ","Palu"
"TU","CLH",38.2066,38.0156,1304,"Adıyaman","Çelikhan"
"TU","PTG",38.6088,38.26,1784,"Malatya","Battalgazi"
"TU","MDN",39.6821,38.3931,1138,"Elazığ","Maden"
"TU","NAR",37.1574,37.3919,650,"Kahramanmaraş","Pazarcık"
"TU","CGC",37.296,37.747,1114,"Kahramanmaraş","Çağlayancerit"
"TU","CNG",39.2995,38.2145,1023,"Diyarbakır","Çüngüş"
"TU","AKK",38.985,38.497,1650,"Elazığ","Merkez"
"TU","FRT",39.1976,38.684,1100,"Elazığ","Merkez"
"TU","CAY",35.3182,37.1721,116,"Adana","Sarıçam"
"TU","HAS",36.465,36.7719,850,"Hatay","Hassa"
"TU","HCB",36.908,37.3438,516,"Kahramanmaraş","Türkoğlu"
"TU","AYK",36.8067,37.4144,580,"Kahramanmaraş","Türkoğlu"
"TU","MLTY",38.4253,38.3257,1050,"Malatya","Battalgazi"
"TU","0001",35.8525,40.6681,520,"Amasya","Merkez"
"TU","0002",33.6018,40.6008,805,"Çankırı","Merkez"
"TU","0003",34.9826,40.5783,894,"Çorum","Merkez"
"TU","0004",33.7913,41.4128,694,"Kastamonu","Merkez"
"TU","0005",36.3683,41.2647,460,"Samsun","Canik"
"TU","0007",36.5466,40.3225,680,"Tokat","Merkez"
"TU","0009",34.8065,39.8118,1358,"Yozgat","Merkez"
"TU","0006",35.4355,41.1436,130,"Samsun","Vezirköprü"
"TU","0008",36.9555,40.5813,720,"Tokat","Niksar"
"TU","0010",32.753,39.9081,850,"Ankara","Çankaya"
"GE","ISP",30.51,37.84,1100,"Isparta","Merkez"
"GE","MALT",38.43,38.31,1120,"Malatya","Battalgazi"
"IU","ANTO",32.7936,39.8689,883,"Ankara","Çankaya"
"TU","TROY",26.418,40.11,95,"Çanakkale","Merkez"
"TU","KLC",29.398,40.633,138,"Yalova","Çiftlikköy"
"TU","ALT",28.74,41.088,18,"İstanbul","Başakşehir"
"TU","CMH",27.9703,40.0115,205,"Balıkesir","Manyas"
"TU","SDU",30.9996,37.4765,0,"Isparta","Sütçüler"
"TU","HNZ",29.2696,37.7495,797,"Denizli","Honaz"
"TU","DRP",32.7422,39.3417,1134,"Ankara","Haymana"
"TU","BKS",33.2629,39.1961,998,"Ankara","Şereflikoçhisar"
"TU","CEV",33.5885,39.4517,1029,"Kırıkkale","Çelebi"
"TU","SOF",33.0964,39.2884,975,"Ankara","Bala"
"TU","OGB",32.8304,39.6851,1130,"Ankara","Gölbaşı"
"TU","YAR",32.927,39.1704,1154,"Konya","Kulu"
"TU","CARP",29.1715,36.8415,986,"Muğla","Fethiye"
"TU","CKRZ",29.1922,36.9732,860,"Denizli","Çameli"
"TU","CELM",28.9968,36.886,815,"Muğla","Dalaman"
"TU","CBCK",29.3126,37.0379,1250,"Denizli","Çameli"
"TU","CKCV",29.2462,37.0925,1102,"Denizli","Çameli"
"TU","CSKZ",29.0769,37.0645,745,"Denizli","Acıpayam"
"TU","CTSC",29.2581,36.9352,1052,"Denizli","Çameli"
"TU","CUZM",29.2732,36.7155,703,"Muğla","Fethiye"
"TU","AUMIH",31.4832,39.8679,1416,"Eskişehir","Mihalıcçık"
"TU","AUSIV",31.5397,39.4396,1111,"Eskişehir","Sivrihisar"
"TU","AUKUT",30.0213,39.3955,1085,"Kütahya","Merkez"
"TU","AUKIR",30.5308,39.2872,1088,"Eskişehir","Seyitgazi"
"TU","AUBOZ",30.0325,39.9107,853,"Bilecik","Bozüyük"
"TU","CIBE",29.4152,36.9873,1112,"Burdur","Gölhisar"
